,Major Class,Month of Travel Date,From,To,Sum of Net Tickets,Sum of Total $
0,Business Class,Jan,Calgary,Ottawa,2,6045.62
1,Business Class,Jan,Calgary,Victoria,1,740.6
2,Business Class,Jan,Campbell River,Ottawa,1,3482.85
3,Business Class,Jan,Charlottetown,Calgary,1,2807.24
4,Business Class,Jan,Charlottetown,Ottawa,1,737.35
5,Business Class,Jan,Charlottetown,Toronto,3,2779.83
6,Business Class,Jan,Edmonton,Ottawa,3,6291.02
7,Business Class,Jan,Edmonton,Toronto,1,1127.83
8,Business Class,Jan,Edmonton,Winnipeg,1,484.18
9,Business Class,Jan,Halifax,Edmonton,1,1374.31
10,Business Class,Jan,Halifax,Ottawa,3,1774.0
11,Business Class,Jan,Kingston,Saskatoon,1,1851.88
12,Business Class,Jan,Kingston,Vancouver,1,4793.27
13,Business Class,Jan,Moncton,Whitehorse,1,1541.28
14,Business Class,Jan,Montreal,Victoria,1,4691.22
15,Business Class,Jan,Ottawa,Calgary,1,2215.84
16,Business Class,Jan,Ottawa,Charlottetown,2,2874.95
17,Business Class,Jan,Ottawa,Edmonton,4,10649.01
18,Business Class,Jan,Ottawa,Halifax,4,3308.4099999999994
19,Business Class,Jan,Ottawa,Montreal,1,1090.42
20,Business Class,Jan,Ottawa,Toronto,6,9644.75
21,Business Class,Jan,Ottawa,Vancouver,6,24024.13
22,Business Class,Jan,Ottawa,Winnipeg,6,5061.67
23,Business Class,Jan,Quebec,Halifax,1,975.65
24,Business Class,Jan,Regina,Halifax,1,802.65
25,Business Class,Jan,Rouyn Noranda,Montreal,1,273.79
26,Business Class,Jan,Saskatoon,Whitehorse,3,1045.56
27,Business Class,Jan,Sept Iles,Regina,2,1860.82
28,Business Class,Jan,St John's,Fredericton,2,2162.35
29,Business Class,Jan,St John's,Halifax,1,426.79
30,Business Class,Jan,St John's,Toronto,1,868.0
31,Business Class,Jan,Toronto,Edmonton,1,1434.11
32,Business Class,Jan,Toronto,Halifax,1,640.5
33,Business Class,Jan,Toronto,Ottawa,1,910.8
34,Business Class,Jan,Toronto,Vancouver,1,6494.77
35,Business Class,Jan,Vancouver,Ottawa,5,17540.21
36,Business Class,Jan,Vancouver,Toronto,2,3855.89
37,Business Class,Jan,Vancouver,Victoria,1,414.0
38,Business Class,Jan,Victoria,Halifax,2,2928.49
39,Business Class,Jan,Victoria,Ottawa,1,3251.12
40,Business Class,Jan,Victoria,Quebec,1,2669.29
41,Business Class,Jan,Whitehorse,Calgary,1,1039.3
42,Business Class,Jan,Winnipeg,Calgary,1,532.48
43,Business Class,Jan,Winnipeg,Ottawa,3,1974.45
44,Business Class,Jan,Winnipeg,Vancouver,1,1447.27
45,Business Class,Jan,Winnipeg,Whitehorse,1,851.81
46,Business Class,Jan,Yellowknife,Vancouver,1,942.53
47,Business Class,Jan,Yellowknife,Winnipeg,2,725.68
48,Business Class,Feb,Calgary,Whitehorse,1,610.73
49,Business Class,Feb,Calgary,Winnipeg,1,460.03
50,Business Class,Feb,Charlottetown,Kamloops,1,3447.61
51,Business Class,Feb,Charlottetown,Toronto,2,2084.44
52,Business Class,Feb,Charlottetown,Vancouver,1,3919.71
53,Business Class,Feb,Comox,Winnipeg,1,1083.86
54,Business Class,Feb,Edmonton,Ottawa,2,3510.08
55,Business Class,Feb,Edmonton,Vancouver,1,1087.7
56,Business Class,Feb,Edmonton,Whitehorse,4,2151.4700000000007
57,Business Class,Feb,Edmonton,Winnipeg,2,1323.26
58,Business Class,Feb,Halifax,Montreal,1,515.34
59,Business Class,Feb,Kelowna,Whitehorse,1,877.01
60,Business Class,Feb,Kuujjuaq,Winnipeg,1,1871.36
61,Business Class,Feb,Mont Joli,Montreal,1,1457.49
62,Business Class,Feb,Montreal,Edmonton,2,4270.75
63,Business Class,Feb,Montreal,Halifax,2,1579.14
64,Business Class,Feb,Montreal,Regina,2,846.28
65,Business Class,Feb,Montreal,Toronto,3,272.63
66,Business Class,Feb,Montreal,Vancouver,3,10375.68
67,Business Class,Feb,Montreal,Victoria,1,3314.59
68,Business Class,Feb,Ottawa,Calgary,3,3196.24
69,Business Class,Feb,Ottawa,Charlottetown,1,2263.71
70,Business Class,Feb,Ottawa,Edmonton,6,12917.09
71,Business Class,Feb,Ottawa,Halifax,7,4955.08
72,Business Class,Feb,Ottawa,Montreal,3,695.09
73,Business Class,Feb,Ottawa,Regina,2,2383.01
74,Business Class,Feb,Ottawa,St John's,3,3491.36
75,Business Class,Feb,Ottawa,Sydney,2,2212.01
76,Business Class,Feb,Ottawa,Toronto,2,3204.81
77,Business Class,Feb,Ottawa,Vancouver,14,53172.22
78,Business Class,Feb,Ottawa,Victoria,3,11434.14
79,Business Class,Feb,Ottawa,Winnipeg,9,6379.989999999999
80,Business Class,Feb,Quebec,Sydney,1,966.12
81,Business Class,Feb,Regina,Montreal,1,752.25
82,Business Class,Feb,Regina,Ottawa,5,6420.21
83,Business Class,Feb,Regina,Quebec,1,1188.79
84,Business Class,Feb,Regina,Victoria,8,1383.26
85,Business Class,Feb,Saskatoon,Winnipeg,1,620.1
86,Business Class,Feb,St John's,Ottawa,1,1491.9
87,Business Class,Feb,St John's,Toronto,1,2123.67
88,Business Class,Feb,Thompson,Calgary,1,901.16
89,Business Class,Feb,Toronto,Ottawa,6,3455.0
90,Business Class,Feb,Toronto,Vancouver,1,2784.13
91,Business Class,Feb,Vancouver,Edmonton,2,1094.75
92,Business Class,Feb,Vancouver,Ottawa,3,10630.24
93,Business Class,Feb,Vancouver,Regina,2,1251.99
94,Business Class,Feb,Vancouver,Toronto,2,9540.62
95,Business Class,Feb,Vancouver,Whitehorse,1,461.08
96,Business Class,Feb,Vancouver,Winnipeg,1,594.43
97,Business Class,Feb,Victoria,Ottawa,2,6099.04
98,Business Class,Feb,Victoria,Whitehorse,2,2046.5
99,Business Class,Feb,Whitehorse,Calgary,2,62.5
100,Business Class,Feb,Whitehorse,Regina,1,1108.01
101,Business Class,Feb,Whitehorse,Vancouver,5,2923.88
102,Business Class,Feb,Winnipeg,Edmonton,2,936.86
103,Business Class,Feb,Winnipeg,Grande Prairie,1,508.46
104,Business Class,Feb,Winnipeg,Ottawa,5,5212.440000000001
105,Business Class,Feb,Winnipeg,Smithers,2,1067.91
106,Business Class,Feb,Winnipeg,Vancouver,2,1916.31
107,Business Class,Feb,Yellowknife,Fredericton,1,63.0
108,Business Class,Feb,Yellowknife,Toronto,1,2468.08
109,Business Class,Feb,Yellowknife,Vancouver,10,5869.6
110,Business Class,Feb,Yellowknife,Winnipeg,1,1108.01
111,Business Class,Mar,Calgary,Montreal,1,4830.38
112,Business Class,Mar,Calgary,Ottawa,1,4809.9
113,Business Class,Mar,Calgary,Vancouver,1,451.63
114,Business Class,Mar,Charlottetown,Toronto,1,2051.43
115,Business Class,Mar,Deer Lake,Montreal,2,3937.36
116,Business Class,Mar,Edmonton,Ottawa,1,2621.12
117,Business Class,Mar,Edmonton,Whitehorse,1,616.48
118,Business Class,Mar,Gander,Thunder Bay,2,2199.87
119,Business Class,Mar,Halifax,Calgary,1,3303.46
120,Business Class,Mar,Halifax,Montreal,1,1405.9
121,Business Class,Mar,Halifax,Ottawa,2,1124.98
122,Business Class,Mar,Halifax,Saskatoon,1,1819.73
123,Business Class,Mar,Halifax,Victoria,1,4657.3600000000015
124,Business Class,Mar,Kelowna,Regina,1,414.88
125,Business Class,Mar,Kingston,Toronto,2,1171.93
126,Business Class,Mar,London,Winnipeg,1,6689.6
127,Business Class,Mar,Montreal,Halifax,1,608.36
128,Business Class,Mar,Montreal,Regina,1,846.28
129,Business Class,Mar,Montreal,St John's,1,1409.81
130,Business Class,Mar,Montreal,Toronto,2,2417.04
131,Business Class,Mar,Montreal,Vancouver,1,2847.37
132,Business Class,Mar,Ottawa,Calgary,2,1958.36
133,Business Class,Mar,Ottawa,Charlottetown,2,2650.37
134,Business Class,Mar,Ottawa,Halifax,2,1985.96
135,Business Class,Mar,Ottawa,Montreal,1,1835.91
136,Business Class,Mar,Ottawa,Regina,1,908.79
137,Business Class,Mar,Ottawa,St John's,3,3484.08
138,Business Class,Mar,Ottawa,Toronto,4,15838.630000000005
139,Business Class,Mar,Ottawa,Vancouver,7,20120.53
140,Business Class,Mar,Ottawa,Victoria,4,18386.63
141,Business Class,Mar,Ottawa,Whitehorse,1,2410.57
142,Business Class,Mar,Ottawa,Winnipeg,1,4454.88
143,Business Class,Mar,Prince George,Whitehorse,1,952.61
144,Business Class,Mar,Prince Rupert,Winnipeg,1,1058.75
145,Business Class,Mar,Quebec,Regina,1,889.97
146,Business Class,Mar,Regina,Moncton,1,783.75
147,Business Class,Mar,Regina,Ottawa,1,1820.73
148,Business Class,Mar,Regina,Vancouver,4,2029.12
149,Business Class,Mar,Rouyn Noranda,Montreal,1,273.79
150,Business Class,Mar,Saskatoon,Winnipeg,2,635.51
151,Business Class,Mar,St John's,Halifax,1,756.99
152,Business Class,Mar,St John's,Toronto,2,2570.92
153,Business Class,Mar,Toronto,St John's,1,707.52
154,Business Class,Mar,Toronto,Vancouver,2,7331.39
155,Business Class,Mar,Vancouver,Montreal,1,537.6
156,Business Class,Mar,Vancouver,Ottawa,5,13368.45
157,Business Class,Mar,Vancouver,Whitehorse,1,461.08
158,Business Class,Mar,Victoria,Edmonton,1,835.01
159,Business Class,Mar,Victoria,Ottawa,1,4588.46
160,Business Class,Mar,Victoria,Quebec,1,3256.65
161,Business Class,Mar,Victoria,Sydney,1,1274.1
162,Business Class,Mar,Whitehorse,Calgary,2,1167.86
163,Business Class,Mar,Whitehorse,Edmonton,1,584.98
164,Business Class,Mar,Whitehorse,Kelowna,1,999.65
165,Business Class,Mar,Whitehorse,Regina,2,2312.17
166,Business Class,Mar,Whitehorse,Vancouver,3,2033.9
167,Business Class,Mar,Whitehorse,Victoria,1,207.0
168,Business Class,Mar,Winnipeg,Grande Prairie,1,856.6
169,Business Class,Mar,Winnipeg,Toronto,1,5523.68
170,Business Class,Mar,Winnipeg,Whitehorse,2,2157.8
171,Business Class,Mar,Yellowknife,Vancouver,7,4813.77
172,Business Class,Apr,Calgary,Nanaimo,1,913.3
173,Business Class,Apr,Calgary,Winnipeg,2,577.63
174,Business Class,Apr,Charlottetown,Toronto,1,1752.31
175,Business Class,Apr,Edmonton,Ottawa,1,5588.18
176,Business Class,Apr,Fredericton,Edmonton,1,2029.81
177,Business Class,Apr,Halifax,Montreal,2,1726.26
178,Business Class,Apr,Halifax,Toronto,7,4773.46
179,Business Class,Apr,Kelowna,Winnipeg,1,722.68
180,Business Class,Apr,Montreal,Regina,2,1682.16
181,Business Class,Apr,Montreal,St John's,2,2841.2
182,Business Class,Apr,Montreal,Winnipeg,1,948.61
183,Business Class,Apr,Ottawa,Calgary,2,3394.370000000001
184,Business Class,Apr,Ottawa,Edmonton,5,21832.67
185,Business Class,Apr,Ottawa,Halifax,3,2915.3100000000004
186,Business Class,Apr,Ottawa,Regina,1,1793.12
187,Business Class,Apr,Ottawa,St John's,1,1146.3
188,Business Class,Apr,Ottawa,Toronto,2,2278.0
189,Business Class,Apr,Ottawa,Vancouver,4,20780.14
190,Business Class,Apr,Ottawa,Victoria,2,6390.36
191,Business Class,Apr,Ottawa,Winnipeg,7,7065.84
192,Business Class,Apr,Quebec,Edmonton,1,1852.39
193,Business Class,Apr,Regina,Calgary,1,881.21
194,Business Class,Apr,Toronto,Edmonton,2,6258.219999999998
195,Business Class,Apr,Toronto,Halifax,2,596.78
196,Business Class,Apr,Toronto,Ottawa,1,523.33
197,Business Class,Apr,Toronto,Winnipeg,5,1591.32
198,Business Class,Apr,Vancouver,Ottawa,2,12934.71
199,Business Class,Apr,Victoria,Calgary,3,1467.43
200,Business Class,Apr,Victoria,Edmonton,1,678.53
201,Business Class,Apr,Victoria,Ottawa,3,15195.63
202,Business Class,Apr,Victoria,Quebec,2,4107.73
203,Business Class,Apr,Victoria,Whitehorse,1,1080.37
204,Business Class,Apr,Victoria,Winnipeg,2,670.18
205,Business Class,Apr,Whitehorse,Calgary,1,817.39
206,Business Class,Apr,Whitehorse,Edmonton,2,1361.06
207,Business Class,Apr,Whitehorse,Toronto,1,1411.33
208,Business Class,Apr,Whitehorse,Vancouver,1,569.23
209,Business Class,Apr,Winnipeg,Ottawa,5,5173.190000000001
210,Business Class,Apr,Winnipeg,Whitehorse,1,1542.34
211,Business Class,Apr,Yellowknife,Ottawa,1,1023.05
212,Business Class,May,Calgary,Ottawa,2,7018.52
213,Business Class,May,Calgary,Whitehorse,1,741.43
214,Business Class,May,Charlottetown,Calgary,1,2743.15
215,Business Class,May,Charlottetown,Vancouver,1,1823.96
216,Business Class,May,Edmonton,Ottawa,2,6696.01
217,Business Class,May,Edmonton,Whitehorse,1,1232.96
218,Business Class,May,Gander,Montreal,1,1563.28
219,Business Class,May,Halifax,Windsor,1,1461.82
220,Business Class,May,Halifax,Winnipeg,1,933.86
221,Business Class,May,Mont Joli,Victoria,1,5219.8
222,Business Class,May,Montreal,Edmonton,1,6168.6100000000015
223,Business Class,May,Montreal,Halifax,1,556.62
224,Business Class,May,Montreal,Toronto,1,740.58
225,Business Class,May,Ottawa,Calgary,3,9677.78
226,Business Class,May,Ottawa,Edmonton,4,21090.95
227,Business Class,May,Ottawa,Halifax,1,1234.12
228,Business Class,May,Ottawa,Regina,1,1811.2
229,Business Class,May,Ottawa,St John's,5,7678.21
230,Business Class,May,Ottawa,Toronto,2,1799.28
231,Business Class,May,Ottawa,Vancouver,10,54835.9
232,Business Class,May,Ottawa,Victoria,2,9147.77
233,Business Class,May,Ottawa,Whitehorse,2,7277.44
234,Business Class,May,Ottawa,Winnipeg,4,7573.13
235,Business Class,May,Ottawa,Yellowknife,1,2668.46
236,Business Class,May,Quebec,Winnipeg,1,2034.57
237,Business Class,May,Regina,Ottawa,1,1591.39
238,Business Class,May,Saskatoon,Ottawa,1,1850.25
239,Business Class,May,Saskatoon,Victoria,1,1363.48
240,Business Class,May,Toronto,Calgary,1,2831.61
241,Business Class,May,Toronto,Edmonton,1,3147.19
242,Business Class,May,Toronto,St John's,1,1834.87
243,Business Class,May,Vancouver,Moncton,1,1698.3
244,Business Class,May,Vancouver,Saskatoon,6,1571.82
245,Business Class,May,Vancouver,Whitehorse,2,1763.9699999999998
246,Business Class,May,Victoria,Montreal,1,3585.35
247,Business Class,May,Victoria,Ottawa,2,12244.52
248,Business Class,May,Victoria,Vancouver,1,414.0
249,Business Class,May,Winnipeg,Halifax,1,2289.97
250,Business Class,May,Winnipeg,St John's,1,1486.63
251,Business Class,May,Winnipeg,Whitehorse,2,2815.81
252,Business Class,Jun,Calgary,Ottawa,1,1183.28
253,Business Class,Jun,Charlottetown,Calgary,1,2121.81
254,Business Class,Jun,Charlottetown,Toronto,1,1209.69
255,Business Class,Jun,Charlottetown,Victoria,1,1357.06
256,Business Class,Jun,Comox,Toronto,2,494.81
257,Business Class,Jun,Edmonton,Ottawa,2,2922.73
258,Business Class,Jun,Fredericton,Ottawa,1,1022.8
259,Business Class,Jun,Halifax,Calgary,1,3811.15
260,Business Class,Jun,Halifax,Toronto,1,1227.67
261,Business Class,Jun,Halifax,Victoria,1,4240.46
262,Business Class,Jun,Halifax,Winnipeg,1,1375.46
263,Business Class,Jun,Montreal,Vancouver,2,3203.48
264,Business Class,Jun,Ottawa,Calgary,1,2527.95
265,Business Class,Jun,Ottawa,Edmonton,4,10099.37
266,Business Class,Jun,Ottawa,Regina,3,2305.46
267,Business Class,Jun,Ottawa,Saskatoon,1,1014.88
268,Business Class,Jun,Ottawa,Sydney,3,3293.29
269,Business Class,Jun,Ottawa,Toronto,3,1436.79
270,Business Class,Jun,Ottawa,Vancouver,4,15859.04
271,Business Class,Jun,Ottawa,Victoria,2,9893.13
272,Business Class,Jun,Ottawa,Winnipeg,5,10833.02
273,Business Class,Jun,Quebec,St John's,1,1627.11
274,Business Class,Jun,Regina,Toronto,1,961.07
275,Business Class,Jun,Regina,Whitehorse,1,1419.25
276,Business Class,Jun,Thunder Bay,Toronto,1,587.51
277,Business Class,Jun,Toronto,Edmonton,2,2669.82
278,Business Class,Jun,Toronto,Halifax,1,1460.67
279,Business Class,Jun,Toronto,Ottawa,2,1426.11
280,Business Class,Jun,Toronto,St John's,1,1634.01
281,Business Class,Jun,Toronto,Vancouver,1,2919.73
282,Business Class,Jun,Vancouver,Montreal,1,2324.83
283,Business Class,Jun,Vancouver,Ottawa,8,24948.550000000007
284,Business Class,Jun,Vancouver,Whitehorse,1,785.24
285,Business Class,Jun,Victoria,Ottawa,4,14983.55
286,Business Class,Jun,Victoria,Quebec,1,4517.7
287,Business Class,Jun,Winnipeg,Montreal,1,862.18
288,Business Class,Jun,Winnipeg,Ottawa,9,8495.11
289,Business Class,Jun,Yellowknife,Ottawa,1,3333.42
290,Business Class,Jun,Yellowknife,Vancouver,2,717.41
291,Business Class,Jun,Yellowknife,Wha Ti,1,473.99
292,Business Class,Jul,Calgary,Ottawa,1,2353.05
293,Business Class,Jul,Calgary,Whitehorse,1,577.63
294,Business Class,Jul,Charlottetown,Ottawa,1,1401.56
295,Business Class,Jul,Cranbrook,Vancouver,3,894.27
296,Business Class,Jul,Edmonton,Halifax,1,1295.1
297,Business Class,Jul,Edmonton,Ottawa,2,3688.7
298,Business Class,Jul,Halifax,Edmonton,1,1407.74
299,Business Class,Jul,Halifax,Ottawa,1,492.34
300,Business Class,Jul,Halifax,Toronto,1,698.95
301,Business Class,Jul,Halifax,Victoria,1,3206.06
302,Business Class,Jul,Inuvik,Charlottetown,1,2589.75
303,Business Class,Jul,Kamloops,Edmonton,3,2427.46
304,Business Class,Jul,Kingston,Halifax,1,1312.71
305,Business Class,Jul,Kingston,Whitehorse,1,3613.08
306,Business Class,Jul,Montreal,Halifax,1,549.72
307,Business Class,Jul,Montreal,Vancouver,3,6222.02
308,Business Class,Jul,Ottawa,Calgary,1,2875.99
309,Business Class,Jul,Ottawa,Edmonton,9,19861.69
310,Business Class,Jul,Ottawa,Halifax,1,1132.52
311,Business Class,Jul,Ottawa,Regina,2,2297.6
312,Business Class,Jul,Ottawa,Saskatoon,1,1662.3
313,Business Class,Jul,Ottawa,St John's,4,5023.06
314,Business Class,Jul,Ottawa,Toronto,6,9456.46
315,Business Class,Jul,Ottawa,Vancouver,6,15213.27
316,Business Class,Jul,Ottawa,Victoria,1,2708.82
317,Business Class,Jul,Ottawa,Winnipeg,4,5985.629999999999
318,Business Class,Jul,Ottawa,Yellowknife,1,2491.93
319,Business Class,Jul,Quebec,Halifax,2,603.76
320,Business Class,Jul,Regina,Montreal,1,909.75
321,Business Class,Jul,Regina,Ottawa,1,1739.93
322,Business Class,Jul,Saskatoon,Whitehorse,1,1018.55
323,Business Class,Jul,St John's,Fredericton,4,1585.2800000000002
324,Business Class,Jul,Toronto,Deer Lake,1,913.32
325,Business Class,Jul,Toronto,Ottawa,2,447.62
326,Business Class,Jul,Toronto,St John's,1,723.34
327,Business Class,Jul,Vancouver,Montreal,2,8428.300000000001
328,Business Class,Jul,Vancouver,Ottawa,4,7617.809999999998
329,Business Class,Jul,Victoria,Quebec,1,4815.17
330,Business Class,Jul,Whitehorse,Kelowna,1,850.57
331,Business Class,Jul,Williams Lake,Edmonton,2,843.41
332,Business Class,Jul,Windsor,Halifax,1,162.15
333,Business Class,Jul,Winnipeg,Halifax,1,1211.7
334,Business Class,Jul,Winnipeg,St John's,1,2201.21
335,Business Class,Jul,Winnipeg,Whitehorse,3,3186.69
336,Business Class,Jul,Yellowknife,Vancouver,1,1251.13
337,Business Class,Aug,Bagotville,Toronto,1,1264.52
338,Business Class,Aug,Calgary,Ottawa,2,2262.46
339,Business Class,Aug,Charlottetown,Montreal,2,1327.47
340,Business Class,Aug,Comox,Bagotville,1,1179.41
341,Business Class,Aug,Edmonton,Ottawa,1,1871.15
342,Business Class,Aug,Edmonton,Whitehorse,2,93.79
343,Business Class,Aug,Gander,Calgary,1,3107.9
344,Business Class,Aug,Gander,Ottawa,1,911.64
345,Business Class,Aug,Gander,Winnipeg,1,715.44
346,Business Class,Aug,Halifax,Edmonton,1,1125.91
347,Business Class,Aug,Halifax,Montreal,8,5543.78
348,Business Class,Aug,Halifax,Ottawa,1,807.13
349,Business Class,Aug,Halifax,Victoria,1,2588.19
350,Business Class,Aug,Halifax,Winnipeg,3,1541.2800000000002
351,Business Class,Aug,Moncton,Winnipeg,1,844.24
352,Business Class,Aug,Montreal,Calgary,1,2737.15
353,Business Class,Aug,Montreal,Halifax,2,1706.66
354,Business Class,Aug,Montreal,Vancouver,1,3260.13
355,Business Class,Aug,Ottawa,Calgary,3,3617.41
356,Business Class,Aug,Ottawa,Charlottetown,2,1713.36
357,Business Class,Aug,Ottawa,Edmonton,1,1931.31
358,Business Class,Aug,Ottawa,Goose Bay,1,1901.51
359,Business Class,Aug,Ottawa,Regina,1,1640.9
360,Business Class,Aug,Ottawa,Saskatoon,6,7603.830000000001
361,Business Class,Aug,Ottawa,Vancouver,7,18139.55
362,Business Class,Aug,Ottawa,Victoria,2,5944.58
363,Business Class,Aug,Ottawa,Whitehorse,2,3440.36
364,Business Class,Aug,Ottawa,Winnipeg,1,1003.87
365,Business Class,Aug,Ottawa,Yellowknife,5,10406.14
366,Business Class,Aug,Quebec,Calgary,1,3390.13
367,Business Class,Aug,Regina,Ottawa,1,756.13
368,Business Class,Aug,Regina,Whitehorse,5,429.58
369,Business Class,Aug,St John's,Montreal,1,1179.41
370,Business Class,Aug,Tofino,Vancouver,1,175.0
371,Business Class,Aug,Toronto,Calgary,1,2496.31
372,Business Class,Aug,Toronto,Charlottetown,1,914.64
373,Business Class,Aug,Toronto,Edmonton,1,979.85
374,Business Class,Aug,Toronto,Halifax,1,1114.01
375,Business Class,Aug,Toronto,Ottawa,1,1124.06
376,Business Class,Aug,Toronto,Sydney,1,488.3
377,Business Class,Aug,Toronto,Vancouver,1,1353.88
378,Business Class,Aug,Toronto,Victoria,1,3196.91
379,Business Class,Aug,Victoria,Edmonton,1,710.45
380,Business Class,Aug,Victoria,Ottawa,2,4787.8600000000015
381,Business Class,Aug,Victoria,Quebec,1,3379.04
382,Business Class,Aug,Whitehorse,Edmonton,1,896.2
383,Business Class,Aug,Whitehorse,Ottawa,1,1075.46
384,Business Class,Aug,Whitehorse,Vancouver,1,692.21
385,Business Class,Aug,Winnipeg,Bagotville,1,1649.4
386,Business Class,Aug,Winnipeg,Halifax,1,1438.07
387,Business Class,Aug,Winnipeg,Kingston,1,1234.65
388,Business Class,Aug,Winnipeg,Montreal,3,2093.7
389,Business Class,Aug,Winnipeg,Ottawa,1,1198.38
390,Business Class,Aug,Winnipeg,Saint John,1,777.79
391,Business Class,Aug,Winnipeg,St John's,1,1697.65
392,Business Class,Aug,Winnipeg,Toronto,1,2488.35
393,Business Class,Aug,Winnipeg,Vancouver,1,2178.75
394,Business Class,Aug,Winnipeg,Whitehorse,2,2037.65
395,Business Class,Aug,Yellowknife,Ottawa,1,4684.13
396,Business Class,Aug,Yellowknife,Vancouver,2,1899.65
397,Business Class,Sep,Charlottetown,Calgary,1,2338.01
398,Business Class,Sep,Edmonton,Fredericton,1,3337.38
399,Business Class,Sep,Edmonton,Ottawa,2,6449.42
400,Business Class,Sep,Edmonton,St John's,1,1096.08
401,Business Class,Sep,Edmonton,Toronto,1,2921.75
402,Business Class,Sep,Halifax,Calgary,1,3738.16
403,Business Class,Sep,Halifax,London,1,1105.02
404,Business Class,Sep,Halifax,Ottawa,1,1249.18
405,Business Class,Sep,Montreal,Toronto,1,360.47
406,Business Class,Sep,Montreal,Vancouver,3,7918.86
407,Business Class,Sep,Ottawa,Calgary,3,6367.83
408,Business Class,Sep,Ottawa,Edmonton,1,8063.42
409,Business Class,Sep,Ottawa,Halifax,2,1923.69
410,Business Class,Sep,Ottawa,Regina,1,3591.7200000000007
411,Business Class,Sep,Ottawa,Saskatoon,1,1613.72
412,Business Class,Sep,Ottawa,St John's,4,5515.29
413,Business Class,Sep,Ottawa,Toronto,2,2689.55
414,Business Class,Sep,Ottawa,Vancouver,8,31987.029999999995
415,Business Class,Sep,Ottawa,Victoria,4,4394.3899999999985
416,Business Class,Sep,Ottawa,Winnipeg,1,3315.15
417,Business Class,Sep,Regina,Montreal,1,265.01
418,Business Class,Sep,Saskatoon,Kingston,1,686.1
419,Business Class,Sep,Saskatoon,Montreal,1,1032.2
420,Business Class,Sep,Saskatoon,Ottawa,1,983.98
421,Business Class,Sep,St John's,Ottawa,1,691.29
422,Business Class,Sep,St John's,Toronto,2,935.73
423,Business Class,Sep,Vancouver,Ottawa,2,5750.25
424,Business Class,Sep,Vancouver,Whitehorse,1,691.03
425,Business Class,Sep,Victoria,Ottawa,2,7459.33
426,Business Class,Sep,Victoria,St John's,1,7276.78
427,Business Class,Sep,Winnipeg,Vancouver,1,787.63
428,Business Class,Sep,Winnipeg,Whitehorse,1,1247.87
429,Business Class,Sep,Yellowknife,Montreal,1,1660.18
430,Business Class,Sep,Yellowknife,Ottawa,1,1921.63
431,Business Class,Sep,Yellowknife,Vancouver,1,961.09
432,Business Class,Oct,Calgary,Ottawa,2,8166.81
433,Business Class,Oct,Calgary,Vancouver,1,669.74
434,Business Class,Oct,Charlottetown,Toronto,1,1025.96
435,Business Class,Oct,Edmonton,Ottawa,1,3143.29
436,Business Class,Oct,Fredericton,St John's,1,797.24
437,Business Class,Oct,Gander,Toronto,1,644.14
438,Business Class,Oct,Halifax,Montreal,2,942.51
439,Business Class,Oct,Halifax,Ottawa,2,984.68
440,Business Class,Oct,Halifax,Toronto,7,5711.31
441,Business Class,Oct,London,Sydney,1,910.25
442,Business Class,Oct,Montreal,Halifax,2,2223.91
443,Business Class,Oct,Montreal,Regina,1,1134.87
444,Business Class,Oct,Montreal,Vancouver,1,3920.09
445,Business Class,Oct,Montreal,Winnipeg,1,1927.07
446,Business Class,Oct,Ottawa,Calgary,3,13063.52
447,Business Class,Oct,Ottawa,Charlottetown,1,1418.32
448,Business Class,Oct,Ottawa,Edmonton,2,7746.76
449,Business Class,Oct,Ottawa,Halifax,2,2613.35
450,Business Class,Oct,Ottawa,Regina,3,4420.24
451,Business Class,Oct,Ottawa,Toronto,3,1599.1999999999996
452,Business Class,Oct,Ottawa,Vancouver,7,39176.98000000002
453,Business Class,Oct,Ottawa,Victoria,2,9410.13
454,Business Class,Oct,Ottawa,Winnipeg,7,10628.27
455,Business Class,Oct,Ottawa,Yellowknife,4,14490.330000000002
456,Business Class,Oct,Quebec,Regina,1,2558.11
457,Business Class,Oct,Quebec,Victoria,1,2031.67
458,Business Class,Oct,Regina,Ottawa,1,2223.17
459,Business Class,Oct,Saskatoon,Toronto,1,795.3
460,Business Class,Oct,St John's,Fredericton,1,647.74
461,Business Class,Oct,St John's,Toronto,1,1082.77
462,Business Class,Oct,Sydney,Toronto,1,545.24
463,Business Class,Oct,Toronto,Edmonton,1,2749.29
464,Business Class,Oct,Toronto,Ottawa,1,1245.54
465,Business Class,Oct,Toronto,Vancouver,1,5517.6
466,Business Class,Oct,Toronto,Winnipeg,2,1302.94
467,Business Class,Oct,Toronto,Yellowknife,1,3480.21
468,Business Class,Oct,Vancouver,Ottawa,7,30229.62
469,Business Class,Oct,Vancouver,Whitehorse,1,569.23
470,Business Class,Oct,Victoria,Halifax,1,2094.88
471,Business Class,Oct,Victoria,Ottawa,4,18868.7
472,Business Class,Oct,Whitehorse,Vancouver,2,1060.89
473,Business Class,Oct,Winnipeg,Ottawa,1,2443.16
474,Business Class,Oct,Winnipeg,Toronto,1,841.18
475,Business Class,Oct,Winnipeg,Whitehorse,1,1329.56
476,Business Class,Oct,Yellowknife,Toronto,1,1892.28
477,Business Class,Nov,Charlottetown,Calgary,1,3352.83
